"","edad","hombreFemale","hombreMale","casadoMarried","raza1","raza2","raza3","raza4","miembros","dependent","wdepentwith.dependents","wdepent.","senior","nonsenior","n.seniorhh","n.nonseniorhh","n.childhh","nonsensexOnly.male","nonsensexBoth.female.and.male","nonsensex.","agecompOnly.senior.adults","agecompOnly.children","propietaOwner","habita","precariaHazardous","matprecaLow.quality.material","aguaAccess","banioAccess","cloacasAccess","electAccess","heladeraAccess","lavarropasAccess","aireAccess","telefono.fijoAccess","celularAccess","televisorAccess","tv.cableAccess","videoAccess","computadoraAccess","internet.casaAccess","autoAccess","motoAccess","biciAccess","asisteAttend","aedu","inSchool","region1","region2","region3","region4","urbanoUrban","peaActive","ocupadoEmployed","desocupaUnemployed","hstrt","relabSalaried.worker","relabSelf.employed","relabNot.salaried","relabUnemployed","n.earnhh","earnhhSingle.earners","earnhhMultiple.earners","hhdivisionmale","hhdivisionhead.couple","hhdivisionother","hhdivision.","ecocompSingle.earners.female.w.o.dependets","ecocompSingle.earners.female.with.dependents","ecocompSingle.earners.male.w.o.dependets","ecocompSingle.earners.male.with.dependents","ecocompMultiple.earners.head.couple.w.o.dependets","ecocompMultiple.earners.head.couple.with.dependents","ecocompMultiple.earners.other.w.o.dependets","ecocompMultiple.earners.other.with.dependents","Ytrain"
"1208",69,0,1,1,1,0,0,0,3,0,1,0,1,0,1,2,0,0,1,0,0,0,1,4,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0,54,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5.72150802612305
"3754",20,1,0,0,1,0,0,0,2,0,1,0,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,15,1,0,1,0,0,1,1,1,0,45,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5.26095867156982
"4263",66,1,0,0,1,0,0,0,6,0,1,0,1,0,1,3,2,0,1,0,0,0,1,4,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9,1,0,1,0,0,1,1,1,0,5,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4.49383163452148
"3835",39,0,1,1,1,0,0,0,5,0,1,0,0,1,0,3,2,0,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0.5,0,1,0,0,0,1,1,0,48,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4.02035856246948
"2869",27,0,1,1,1,0,0,0,3,0,1,0,0,1,0,1,2,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,44,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4.82471036911011
"6584",44,0,1,1,1,0,0,0,4,0,1,0,0,1,0,2,2,0,1,0,0,0,0,6,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,6,0.5,0,0,0,1,1,1,1,0,70,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.76153135299683
"4578",52,0,1,1,1,0,0,0,3,0,1,0,0,1,0,3,0,0,1,0,0,0,1,4,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,9,1,0,0,1,0,1,1,1,0,48,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5.76507329940796
"301",32,1,0,1,1,0,0,0,9,0,1,0,0,1,0,4,5,0,1,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,10,0.400000005960464,1,0,0,0,1,1,1,0,12,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4.3154730796814
"633",53,1,0,1,1,0,0,0,3,0,1,0,0,1,0,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,1,1,0,24,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.06194067001343
"4044",22,0,1,1,1,0,0,0,3,0,1,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,1,1,0,49,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,4.80114459991455
"6751",34,0,1,1,1,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,11,1,0,0,0,1,1,1,1,0,30,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,6.45268392562866
"3673",43,0,1,1,1,0,0,0,4,0,1,0,0,1,0,3,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,16,1,0,1,0,0,1,1,1,0,56,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,6.01273965835571
"6464",58,0,1,1,1,0,0,0,4,0,1,0,0,1,0,2,2,0,1,0,0,0,1,3,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,18,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4.91005039215088
"2484",34,1,0,1,1,0,0,0,5,0,1,0,0,1,0,2,3,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,1,1,0,42,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4.59651708602905
"2216",24,0,1,1,1,0,0,0,4,0,1,0,0,1,0,2,2,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,7,0.5,1,0,0,0,0,1,1,0,72,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5.44581604003906
"6417",57,1,0,1,0,0,0,1,5,0,1,0,0,1,0,3,2,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,24,0,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.57372951507568
"2491",70,1,0,0,1,0,0,0,7,0,1,0,1,0,1,3,3,0,1,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.333333343267441,1,0,0,0,1,1,1,0,35,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4.52965641021729
"68",20,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,1,1,0,84,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,6.14674711227417
"2010",32,0,1,1,1,0,0,0,8,0,1,0,0,1,0,5,3,0,1,0,0,0,1,3,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,8,0.666666686534882,1,0,0,0,1,1,1,0,44,0,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.44392728805542
"742",47,0,1,1,1,0,0,0,3,0,1,0,0,1,0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,84,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,5.19317054748535
"3551",42,0,1,1,1,0,0,0,5,0,1,0,0,1,0,2,3,0,1,0,0,0,1,2,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,7,0.666666686534882,0,1,0,0,1,1,1,0,48,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5.43724393844604
